T,M,chi,C,U4,L
2.0,0.88492,1.417142,1.123585,0.653122,16
2.02,0.90038,0.626222,0.836237,0.660391,16
2.04,0.896102,0.419188,0.990547,0.661496,16
2.06,0.879191,0.4879,0.919839,0.660262,16
2.08,0.849208,0.938439,1.173127,0.654139,16
2.1,0.841795,2.412155,1.128477,0.640313,16
2.12,0.836063,1.616177,1.410282,0.647242,16
2.14,0.848209,0.746216,1.110808,0.655975,16
2.16,0.824788,2.790969,1.31702,0.64154,16
2.18,0.280389,8.103882,1.16133,-0.113801,16
2.2,0.634034,9.834201,2.282402,0.536112,16
2.22,0.403048,7.54456,1.235509,0.306213,16
2.24,0.794961,1.05302,1.116728,0.648826,16
2.26,0.541753,4.544089,1.041032,0.547052,16
2.28,0.741598,1.895237,1.145934,0.632679,16
2.3,0.772984,0.928165,1.007503,0.649086,16
2.32,0.424341,5.987783,1.156927,0.404066,16
2.34,0.705969,1.4615,0.993517,0.633497,16
2.36,0.664225,1.512579,1.037875,0.627292,16
2.38,0.684544,2.111229,1.277231,0.62134,16
2.4,0.454623,3.860272,0.818296,0.53372,16
2.42,0.584672,4.5341,1.220169,0.565153,16
2.44,0.372103,6.925705,1.372573,0.233355,16
2.46,0.413109,6.35674,1.159628,0.364321,16
2.48,0.435391,7.14785,1.503378,0.4128,16
2.5,0.494097,5.594072,1.091455,0.523433,16
2.0,0.058438,0.506982,7.865818,0.58423,64
2.02,0.06711,1.188592,18.113016,0.514134,64
2.04,0.152823,1.350965,10.796821,0.6305,64
2.06,0.015588,0.279611,7.950318,0.057872,64
2.08,0.050488,0.763563,13.248197,0.50622,64
2.1,0.105531,1.205234,6.425142,0.603405,64
2.12,0.012743,0.160452,11.969798,-0.221518,64
2.14,0.051093,0.405028,8.788798,0.599698,64
2.16,0.036158,0.321832,6.961145,0.512871,64
2.18,0.12532,0.649322,6.938285,0.637455,64
2.2,0.215525,2.102357,5.725727,0.641594,64
2.22,0.042481,1.399801,6.885103,0.252289,64
2.24,0.0322,0.538736,7.938276,0.434798,64
2.26,0.08689,1.276391,6.533896,0.574366,64
2.28,0.024554,0.212731,3.99912,0.471435,64
2.3,0.0867,2.30427,7.209642,0.514648,64
2.32,0.013944,0.146886,3.77464,0.298559,64
2.34,0.104963,3.908812,5.601249,0.452403,64
2.36,0.100655,1.405749,4.786075,0.578509,64
2.38,0.036337,0.792978,3.737351,0.393639,64
2.4,0.017093,0.182772,3.958277,0.336528,64
2.42,0.014554,0.189567,4.223893,0.141797,64
2.44,0.025047,0.542593,3.151132,0.211949,64
2.46,0.074306,0.297318,2.545652,0.623527,64
2.48,0.027774,0.893933,4.122552,-0.209742,64
2.5,0.066277,0.931822,2.633579,0.555844,64
2.0,0.9062,0.358575,0.683319,0.654074,8
2.02,0.886619,0.429776,0.871772,0.648939,8
2.04,0.865437,0.780514,1.046631,0.639741,8
2.06,0.8733,0.601415,0.950073,0.643714,8
2.08,0.901131,0.222048,0.634361,0.656384,8
2.1,0.881725,0.400836,0.797167,0.650041,8
2.12,0.869456,0.718146,0.897189,0.643387,8
2.14,0.861644,0.758129,0.901908,0.64093,8
2.16,0.82595,0.930566,1.092065,0.631356,8
2.18,0.856875,0.536628,0.911657,0.642906,8
2.2,0.81375,0.901125,1.099578,0.627409,8
2.22,0.807225,0.889997,1.067129,0.624523,8
2.24,0.804113,0.880959,1.060795,0.625608,8
2.26,0.786169,1.014818,1.176345,0.617623,8
2.28,0.800419,0.862707,1.084891,0.624462,8
2.3,0.695306,1.913549,1.306035,0.567531,8
2.32,0.785737,1.086492,1.035914,0.618396,8
2.34,0.726575,1.25699,1.132104,0.595135,8
2.36,0.725331,1.449593,1.211973,0.589867,8
2.38,0.774581,0.959461,0.919266,0.623118,8
2.4,0.635725,1.904953,1.151923,0.538138,8
2.42,0.710025,1.218917,1.052672,0.590032,8
2.44,0.643587,1.720456,1.215232,0.546387,8
2.46,0.655625,1.60748,1.227283,0.556974,8
2.48,0.560963,2.064183,1.183615,0.47723,8
2.5,0.579925,1.591477,0.924026,0.522589,8
2.0,0.115767,1.44868,1.57873,0.489207,32
2.02,0.036016,0.373642,1.925761,0.116334,32
2.04,0.169157,2.686406,1.675902,0.481663,32
2.06,0.378551,11.909848,1.050924,0.487828,32
2.08,0.062973,1.205049,0.525702,-0.202549,32
2.1,0.038729,0.281641,0.428731,0.275241,32
2.12,0.487258,8.754979,1.856942,0.602317,32
2.14,0.189768,2.79771,0.579938,0.533188,32
2.16,0.125283,4.043859,0.663263,0.058365,32
2.18,0.135152,0.970515,0.916747,0.550714,32
2.2,0.2748,1.046496,0.518023,0.623015,32
2.22,0.153244,0.593708,1.106921,0.604601,32
2.24,0.317259,1.661214,0.931459,0.623238,32
2.26,0.108509,5.338276,0.970706,-0.265139,32
2.28,0.099014,1.128064,0.458625,0.470599,32
2.3,0.134079,0.569013,0.760749,0.586054,32
2.32,0.270136,6.0269,0.712461,0.542283,32
2.34,0.114232,1.74747,0.56207,0.455431,32
2.36,0.08218,0.811021,0.583194,0.378676,32
2.38,0.079776,1.336346,0.806828,0.193254,32
2.4,0.23908,8.891368,0.582904,0.445729,32
2.42,0.223348,4.676372,0.677893,0.447841,32
2.44,0.134575,2.273643,1.026607,0.421494,32
2.46,0.04858,0.46928,0.828764,0.149065,32
2.48,0.125914,1.913781,0.894264,0.400265,32
2.5,0.192725,1.472358,0.578584,0.569018,32
