T	M	chi	C	U4
2.000	0.164967	1.012762	0.963775	0.574498
2.020	0.234230	7.067123	0.992821	0.475745
2.040	0.051079	0.621427	1.008806	0.257163
2.060	0.306144	5.977649	1.159937	0.516146
2.080	0.169732	2.868853	1.200702	0.450929
2.100	0.513643	17.710891	3.295484	0.543241
2.120	0.071502	1.042642	1.896517	0.323382
2.140	0.552673	7.740110	1.811327	0.612785
2.160	0.170321	1.857481	1.445403	0.523646
2.180	0.309156	13.012842	1.351322	0.466247
2.200	0.291680	9.787522	0.975703	0.471834
2.220	0.305104	0.937073	0.883636	0.637011
2.240	0.189310	4.528248	0.664137	0.403309
2.260	0.057320	0.915634	1.211337	0.088517
2.280	0.168025	0.634094	0.496449	0.603979
2.300	0.122954	1.122680	0.646622	0.472739
2.320	0.210377	7.808220	1.071798	0.255464
2.340	0.349480	2.126044	1.362608	0.620376
2.360	0.326588	1.800966	0.876633	0.613854
2.380	0.421367	4.384355	1.654697	0.603893
2.400	0.088673	1.763143	0.526859	0.178641
2.420	0.344532	2.178537	0.465045	0.613719
2.440	0.053613	0.432763	0.626804	0.337660
2.460	0.313857	4.644685	1.058140	0.533476
2.480	0.254852	4.514481	0.346726	0.492641
2.500	0.082304	0.796580	0.885429	0.436176
